variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,1,1,process,1,4,40000,250,160000,155412,23.9,46.0,2658399,424173680,16.6150,2651.09,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.28,1.28
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,1,2,process,1,4,40000,250,160000,158395,23.9,42.6,2016238,344031432,12.6015,2150.20,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,1.28,1.28
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,1,3,process,1,4,40000,250,160000,160923,23.1,43.7,2019895,345293744,12.6243,2158.09,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,1.28,1.5
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,1,4,process,1,4,40000,250,160000,156588,24.3,43.1,2659965,424762784,16.6248,2654.77,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.5,1.5
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,2,1,process,1,4,40000,250,160000,165900,22.7,40.9,2016037,344069444,12.6002,2150.43,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,1.5,1.5
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,2,2,process,1,4,40000,250,160000,155877,24.3,41.6,2657261,423684992,16.6079,2648.03,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.5,1.54
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,2,3,process,1,4,40000,250,160000,155630,24.3,43.4,2657169,423722888,16.6073,2648.27,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.54,1.54
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,2,4,process,1,4,40000,250,160000,162765,23.2,42.0,2017100,344363748,12.6069,2152.27,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,1.54,1.54
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,3,1,process,1,4,40000,250,160000,156713,24.2,45.0,2658602,424141860,16.6163,2650.89,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.54,1.54
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,3,2,process,1,4,40000,250,160000,158779,23.5,44.1,2016942,344319364,12.6059,2152.00,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,1.5,1.5
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,3,3,process,1,4,40000,250,160000,159806,23.9,41.7,2014849,343522724,12.5928,2147.02,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,1.5,1.5
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,3,4,process,1,4,40000,250,160000,156345,24.3,42.6,2657056,423829796,16.6066,2648.94,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.5,1.54
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,4,1,process,1,4,40000,250,160000,159905,23.5,42.9,2015078,343605368,12.5942,2147.53,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,1.54,1.54
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,4,2,process,1,4,40000,250,160000,156030,24.1,45.5,2658032,424002532,16.6127,2650.02,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.54,1.54
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,4,3,process,1,4,40000,250,160000,160157,23.2,44.4,2658632,424311380,16.6165,2651.95,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.54,1.57
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,4,4,process,1,4,40000,250,160000,158480,23.2,43.2,2017102,344316200,12.6069,2151.98,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,1.57,1.57
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,5,1,process,1,4,40000,250,160000,153541,24.5,41.8,2657302,423716060,16.6081,2648.23,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.57,1.57
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,5,2,process,1,4,40000,250,160000,163180,23.2,40.5,2015548,343779172,12.5972,2148.62,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,1.57,1.85
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,5,3,process,1,4,40000,250,160000,162861,23.6,40.5,2014747,343439196,12.5922,2146.49,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,1.85,1.85
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,5,4,process,1,4,40000,250,160000,156100,24.1,43.3,2657758,423829496,16.6110,2648.93,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,1.85,1.85
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,1,1,process,10,4,12500,250,500000,829857,45.5,87.4,2716087,568063892,5.4322,1136.13,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,1.94,1.94
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,1,2,process,10,4,12500,250,500000,1044365,35.6,72.6,1197948,375774736,2.3959,751.55,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,1.94,1.94
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,1,3,process,10,4,12500,250,500000,1003377,36.8,68.7,1201559,377009944,2.4031,754.02,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,1.94,1.94
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,1,4,process,10,4,12500,250,500000,828374,47.1,79.6,2717951,568927008,5.4359,1137.85,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,1.94,2.59
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,2,1,process,10,4,12500,250,500000,1055132,34.9,71.0,1197249,375636256,2.3945,751.27,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,2.59,2.59
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,2,2,process,10,4,12500,250,500000,850090,43.9,86.9,2713526,567257660,5.4271,1134.52,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,2.59,2.59
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,2,3,process,10,4,12500,250,500000,841241,46.4,79.8,2715869,568215788,5.4317,1136.43,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,2.59,2.59
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,2,4,process,10,4,12500,250,500000,1040289,34.6,72.3,1197419,375675656,2.3948,751.35,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,2.59,2.46
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,3,1,process,10,4,12500,250,500000,925895,37.4,82.4,2710357,566127260,5.4207,1132.25,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,2.46,2.46
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,3,2,process,10,4,12500,250,500000,1017088,36.2,71.7,1199986,376623700,2.4000,753.25,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,2.46,2.46
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,3,3,process,10,4,12500,250,500000,1016452,36.8,68.9,1201707,376988788,2.4034,753.98,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,2.46,2.42
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,3,4,process,10,4,12500,250,500000,845163,44.7,79.3,2714474,567636740,5.4289,1135.27,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,2.42,2.42
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,4,1,process,10,4,12500,250,500000,1021183,36.3,69.8,1200903,376860968,2.4018,753.72,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,2.42,2.42
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,4,2,process,10,4,12500,250,500000,809580,47.5,83.6,2717294,568706736,5.4346,1137.41,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,2.42,2.42
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,4,3,process,10,4,12500,250,500000,914176,40.5,74.9,2711507,566770364,5.4230,1133.54,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,2.31,2.31
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,4,4,process,10,4,12500,250,500000,1007861,36.7,69.9,1201749,377206928,2.4035,754.41,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,2.31,2.31
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,5,1,process,10,4,12500,250,500000,814018,47.4,82.9,2717130,568475744,5.4343,1136.95,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,2.31,2.31
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,5,2,process,10,4,12500,250,500000,1070016,34.9,65.9,1197738,375727988,2.3955,751.46,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,2.31,2.28
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,5,3,process,10,4,12500,250,500000,1052060,35.0,68.3,1194523,374581044,2.3890,749.16,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,2.28,2.28
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,5,4,process,10,4,12500,250,500000,773550,48.4,95.3,2716815,568677116,5.4336,1137.35,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,2.28,2.28
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,1,1,process,100,4,2500,250,1000000,3316447,112.4,237.9,2221473,737155980,2.2215,737.16,0,0,0,10000,1000000,0,0,10000,0,0,0,false,2.28,2.28
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,1,2,process,100,4,2500,250,1000000,4298981,88.4,149.1,1196607,663369256,1.1966,663.37,10000,1000000,250000000,0,0,0,0,10000,0,0,0,false,2.28,2.18
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,1,3,process,100,4,2500,250,1000000,4204338,90.2,167.9,1196652,663372004,1.1967,663.37,10000,1000000,250000000,0,0,0,0,10000,0,0,0,false,2.18,2.18
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,1,4,process,100,4,2500,250,1000000,3480305,103.0,244.6,2220046,737127252,2.2200,737.13,0,0,0,10000,1000000,0,0,10000,0,0,0,false,2.18,2.18
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,2,1,process,100,4,2500,250,1000000,4385549,87.1,163.6,1196650,663353268,1.1966,663.35,10000,1000000,250000000,0,0,0,0,10000,0,0,0,false,2.18,2.18
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,2,2,process,100,4,2500,250,1000000,3420698,109.8,224.6,2221215,737180096,2.2212,737.18,0,0,0,10000,1000000,0,0,10000,0,0,0,false,2.18,2.18
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,2,3,process,100,4,2500,250,1000000,3497518,106.2,222.9,2220876,737159180,2.2209,737.16,0,0,0,10000,1000000,0,0,10000,0,0,0,false,2.18,2.18
candidate,75694cb483844cbd18f1e1b0ee4164adf278ef58,e11d8951b7735b8b3f8b3dac16f9902e5768da877b3ba1b92f1245a5214bdf08,2,4,process,100,4,2500,250,1000000,4428150,87.1,164.2,1196470,663384800,1.1965,663.38,10000,1000000,250000000,0,0,0,0,10000,0,0,0,false,2.16,2.16
control,97f73c0d4e478bab1a13f22c8dbd8bbd502393c1,b11e3c7fea9edc40b76d732c29ae26de922e5a4dcab14c6f947ee25f8734e29f,3,1,process,100,4,2500,250,1000000,3590208,104.4,210.7,2220723,737146728,2.2207,737.15,0,0,0,10000,1000000,0,0,10000,0,0,0,false,2.16,2.16
