point_id,phase,boundary,comparison,role,slot,order,variant,mode,target_bytes,physical_batches,writers
b00062,boundary,width_8_+0,copy_contiguous,baseline,2,BAAB,k_pwrite,process,1120,8,4
b00063,boundary,width_8_+0,copy_contiguous,baseline,3,BAAB,k_pwrite,process,1120,8,4
b00064,boundary,width_8_+0,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,1120,8,4
b00065,boundary,width_8_+1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,1260,9,4
b00066,boundary,width_8_+1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,1260,9,4
b00067,boundary,width_8_+1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,1260,9,4
b00068,boundary,width_8_+1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,1260,9,4
b00069,boundary,width_8_+1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,1260,9,4
b00070,boundary,width_8_+1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,1260,9,4
b00071,boundary,width_8_+1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,1260,9,4
b00072,boundary,width_8_+1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,1260,9,4
b00073,boundary,width_16_-1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,2100,15,4
b00074,boundary,width_16_-1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,2100,15,4
b00075,boundary,width_16_-1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,2100,15,4
b00076,boundary,width_16_-1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,2100,15,4
b00077,boundary,width_16_-1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,2100,15,4
b00078,boundary,width_16_-1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,2100,15,4
b00079,boundary,width_16_-1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,2100,15,4
b00080,boundary,width_16_-1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,2100,15,4
b00081,boundary,width_16_+0,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,2240,16,4
b00082,boundary,width_16_+0,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,2240,16,4
b00083,boundary,width_16_+0,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,2240,16,4
b00084,boundary,width_16_+0,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,2240,16,4
b00085,boundary,width_16_+0,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,2240,16,4
b00086,boundary,width_16_+0,copy_contiguous,baseline,2,BAAB,k_pwrite,process,2240,16,4
b00087,boundary,width_16_+0,copy_contiguous,baseline,3,BAAB,k_pwrite,process,2240,16,4
b00088,boundary,width_16_+0,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,2240,16,4
b00089,boundary,width_16_+1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,2380,17,4
b00090,boundary,width_16_+1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,2380,17,4
b00091,boundary,width_16_+1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,2380,17,4
b00092,boundary,width_16_+1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,2380,17,4
b00093,boundary,width_16_+1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,2380,17,4
b00094,boundary,width_16_+1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,2380,17,4
b00095,boundary,width_16_+1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,2380,17,4
b00096,boundary,width_16_+1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,2380,17,4
b00097,boundary,bytes_65536_-1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,65535,64,4
b00098,boundary,bytes_65536_-1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,65535,64,4
b00099,boundary,bytes_65536_-1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,65535,64,4
b00100,boundary,bytes_65536_-1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,65535,64,4
b00101,boundary,bytes_65536_-1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,65535,64,4
