point_id,phase,boundary,comparison,role,slot,order,variant,mode,target_bytes,physical_batches,writers
b00251,boundary,bytes_4194304_+1,pwritev_64_1m,candidate,3,ABBA,pwritev_64_1m,process,4194305,1024,4
b00252,boundary,bytes_4194304_+1,pwritev_64_1m,baseline,4,ABBA,k_pwrite,process,4194305,1024,4
b00253,boundary,bytes_4194304_+1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,4194305,1024,4
b00254,boundary,bytes_4194304_+1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,4194305,1024,4
b00255,boundary,bytes_4194304_+1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,4194305,1024,4
b00256,boundary,bytes_4194304_+1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,4194305,1024,4
b00257,boundary,bytes_8388608_-1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,8388607,1024,4
b00258,boundary,bytes_8388608_-1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,8388607,1024,4
b00259,boundary,bytes_8388608_-1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,8388607,1024,4
b00260,boundary,bytes_8388608_-1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,8388607,1024,4
b00261,boundary,bytes_8388608_-1,pwritev_full_4m,candidate,1,BAAB,pwritev_full_4m,process,8388607,1024,4
b00262,boundary,bytes_8388608_-1,pwritev_full_4m,baseline,2,BAAB,k_pwrite,process,8388607,1024,4
b00263,boundary,bytes_8388608_-1,pwritev_full_4m,baseline,3,BAAB,k_pwrite,process,8388607,1024,4
b00264,boundary,bytes_8388608_-1,pwritev_full_4m,candidate,4,BAAB,pwritev_full_4m,process,8388607,1024,4
b00265,boundary,bytes_8388608_-1,pwritev_full_8m,baseline,1,ABBA,k_pwrite,process,8388607,1024,4
b00266,boundary,bytes_8388608_-1,pwritev_full_8m,candidate,2,ABBA,pwritev_full_8m,process,8388607,1024,4
b00267,boundary,bytes_8388608_-1,pwritev_full_8m,candidate,3,ABBA,pwritev_full_8m,process,8388607,1024,4
b00268,boundary,bytes_8388608_-1,pwritev_full_8m,baseline,4,ABBA,k_pwrite,process,8388607,1024,4
b00269,boundary,bytes_8388608_-1,pwritev_256_4m,candidate,1,BAAB,pwritev_256_4m,process,8388607,1024,4
b00270,boundary,bytes_8388608_-1,pwritev_256_4m,baseline,2,BAAB,k_pwrite,process,8388607,1024,4
b00271,boundary,bytes_8388608_-1,pwritev_256_4m,baseline,3,BAAB,k_pwrite,process,8388607,1024,4
b00272,boundary,bytes_8388608_-1,pwritev_256_4m,candidate,4,BAAB,pwritev_256_4m,process,8388607,1024,4
b00273,boundary,bytes_8388608_-1,pwritev_64_1m,baseline,1,ABBA,k_pwrite,process,8388607,1024,4
b00274,boundary,bytes_8388608_-1,pwritev_64_1m,candidate,2,ABBA,pwritev_64_1m,process,8388607,1024,4
b00275,boundary,bytes_8388608_-1,pwritev_64_1m,candidate,3,ABBA,pwritev_64_1m,process,8388607,1024,4
b00276,boundary,bytes_8388608_-1,pwritev_64_1m,baseline,4,ABBA,k_pwrite,process,8388607,1024,4
b00277,boundary,bytes_8388608_-1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,8388607,1024,4
b00278,boundary,bytes_8388608_-1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,8388607,1024,4
b00279,boundary,bytes_8388608_-1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,8388607,1024,4
b00280,boundary,bytes_8388608_-1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,8388607,1024,4
b00281,boundary,bytes_8388608_+0,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,8388608,1024,4
b00282,boundary,bytes_8388608_+0,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,8388608,1024,4
b00283,boundary,bytes_8388608_+0,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,8388608,1024,4
b00284,boundary,bytes_8388608_+0,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,8388608,1024,4
b00285,boundary,bytes_8388608_+0,pwritev_full_4m,candidate,1,BAAB,pwritev_full_4m,process,8388608,1024,4
b00286,boundary,bytes_8388608_+0,pwritev_full_4m,baseline,2,BAAB,k_pwrite,process,8388608,1024,4
b00287,boundary,bytes_8388608_+0,pwritev_full_4m,baseline,3,BAAB,k_pwrite,process,8388608,1024,4
b00288,boundary,bytes_8388608_+0,pwritev_full_4m,candidate,4,BAAB,pwritev_full_4m,process,8388608,1024,4
b00289,boundary,bytes_8388608_+0,pwritev_full_8m,baseline,1,ABBA,k_pwrite,process,8388608,1024,4
b00290,boundary,bytes_8388608_+0,pwritev_full_8m,candidate,2,ABBA,pwritev_full_8m,process,8388608,1024,4
b00291,boundary,bytes_8388608_+0,pwritev_full_8m,candidate,3,ABBA,pwritev_full_8m,process,8388608,1024,4
b00292,boundary,bytes_8388608_+0,pwritev_full_8m,baseline,4,ABBA,k_pwrite,process,8388608,1024,4
b00293,boundary,bytes_8388608_+0,pwritev_256_4m,candidate,1,BAAB,pwritev_256_4m,process,8388608,1024,4
b00294,boundary,bytes_8388608_+0,pwritev_256_4m,baseline,2,BAAB,k_pwrite,process,8388608,1024,4
b00295,boundary,bytes_8388608_+0,pwritev_256_4m,baseline,3,BAAB,k_pwrite,process,8388608,1024,4
b00296,boundary,bytes_8388608_+0,pwritev_256_4m,candidate,4,BAAB,pwritev_256_4m,process,8388608,1024,4
b00297,boundary,bytes_8388608_+0,pwritev_64_1m,baseline,1,ABBA,k_pwrite,process,8388608,1024,4
b00298,boundary,bytes_8388608_+0,pwritev_64_1m,candidate,2,ABBA,pwritev_64_1m,process,8388608,1024,4
b00299,boundary,bytes_8388608_+0,pwritev_64_1m,candidate,3,ABBA,pwritev_64_1m,process,8388608,1024,4
b00300,boundary,bytes_8388608_+0,pwritev_64_1m,baseline,4,ABBA,k_pwrite,process,8388608,1024,4
b00301,boundary,bytes_8388608_+0,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,8388608,1024,4
b00302,boundary,bytes_8388608_+0,copy_contiguous,baseline,2,BAAB,k_pwrite,process,8388608,1024,4
b00303,boundary,bytes_8388608_+0,copy_contiguous,baseline,3,BAAB,k_pwrite,process,8388608,1024,4
b00304,boundary,bytes_8388608_+0,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,8388608,1024,4
b00305,boundary,bytes_8388608_+1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,8388609,1024,4
b00306,boundary,bytes_8388608_+1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,8388609,1024,4
b00307,boundary,bytes_8388608_+1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,8388609,1024,4
b00308,boundary,bytes_8388608_+1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,8388609,1024,4
b00309,boundary,bytes_8388608_+1,pwritev_full_4m,candidate,1,BAAB,pwritev_full_4m,process,8388609,1024,4
b00310,boundary,bytes_8388608_+1,pwritev_full_4m,baseline,2,BAAB,k_pwrite,process,8388609,1024,4
b00311,boundary,bytes_8388608_+1,pwritev_full_4m,baseline,3,BAAB,k_pwrite,process,8388609,1024,4
b00312,boundary,bytes_8388608_+1,pwritev_full_4m,candidate,4,BAAB,pwritev_full_4m,process,8388609,1024,4
b00313,boundary,bytes_8388608_+1,pwritev_full_8m,baseline,1,ABBA,k_pwrite,process,8388609,1024,4
b00314,boundary,bytes_8388608_+1,pwritev_full_8m,candidate,2,ABBA,pwritev_full_8m,process,8388609,1024,4
b00315,boundary,bytes_8388608_+1,pwritev_full_8m,candidate,3,ABBA,pwritev_full_8m,process,8388609,1024,4
b00316,boundary,bytes_8388608_+1,pwritev_full_8m,baseline,4,ABBA,k_pwrite,process,8388609,1024,4
b00317,boundary,bytes_8388608_+1,pwritev_256_4m,candidate,1,BAAB,pwritev_256_4m,process,8388609,1024,4
b00318,boundary,bytes_8388608_+1,pwritev_256_4m,baseline,2,BAAB,k_pwrite,process,8388609,1024,4
b00319,boundary,bytes_8388608_+1,pwritev_256_4m,baseline,3,BAAB,k_pwrite,process,8388609,1024,4
b00320,boundary,bytes_8388608_+1,pwritev_256_4m,candidate,4,BAAB,pwritev_256_4m,process,8388609,1024,4
b00321,boundary,bytes_8388608_+1,pwritev_64_1m,baseline,1,ABBA,k_pwrite,process,8388609,1024,4
b00322,boundary,bytes_8388608_+1,pwritev_64_1m,candidate,2,ABBA,pwritev_64_1m,process,8388609,1024,4
b00323,boundary,bytes_8388608_+1,pwritev_64_1m,candidate,3,ABBA,pwritev_64_1m,process,8388609,1024,4
b00324,boundary,bytes_8388608_+1,pwritev_64_1m,baseline,4,ABBA,k_pwrite,process,8388609,1024,4
b00325,boundary,iov_64_-1,pwritev_full_1m,candidate,1,BAAB,pwritev_full_1m,process,8820,63,4
b00326,boundary,iov_64_-1,pwritev_full_1m,baseline,2,BAAB,k_pwrite,process,8820,63,4
b00327,boundary,iov_64_-1,pwritev_full_1m,baseline,3,BAAB,k_pwrite,process,8820,63,4
b00328,boundary,iov_64_-1,pwritev_full_1m,candidate,4,BAAB,pwritev_full_1m,process,8820,63,4
b00329,boundary,iov_64_-1,copy_contiguous,baseline,1,ABBA,k_pwrite,process,8820,63,4
b00330,boundary,iov_64_-1,copy_contiguous,candidate,2,ABBA,copy_contiguous,process,8820,63,4
b00331,boundary,iov_64_-1,copy_contiguous,candidate,3,ABBA,copy_contiguous,process,8820,63,4
b00332,boundary,iov_64_-1,copy_contiguous,baseline,4,ABBA,k_pwrite,process,8820,63,4
b00333,boundary,iov_64_+0,pwritev_full_1m,candidate,1,BAAB,pwritev_full_1m,process,8960,64,4
b00334,boundary,iov_64_+0,pwritev_full_1m,baseline,2,BAAB,k_pwrite,process,8960,64,4
b00335,boundary,iov_64_+0,pwritev_full_1m,baseline,3,BAAB,k_pwrite,process,8960,64,4
b00336,boundary,iov_64_+0,pwritev_full_1m,candidate,4,BAAB,pwritev_full_1m,process,8960,64,4
b00337,boundary,iov_64_+0,copy_contiguous,baseline,1,ABBA,k_pwrite,process,8960,64,4
b00338,boundary,iov_64_+0,copy_contiguous,candidate,2,ABBA,copy_contiguous,process,8960,64,4
b00339,boundary,iov_64_+0,copy_contiguous,candidate,3,ABBA,copy_contiguous,process,8960,64,4
b00340,boundary,iov_64_+0,copy_contiguous,baseline,4,ABBA,k_pwrite,process,8960,64,4
b00341,boundary,iov_64_+1,pwritev_full_1m,candidate,1,BAAB,pwritev_full_1m,process,9100,65,4
b00342,boundary,iov_64_+1,pwritev_full_1m,baseline,2,BAAB,k_pwrite,process,9100,65,4
b00343,boundary,iov_64_+1,pwritev_full_1m,baseline,3,BAAB,k_pwrite,process,9100,65,4
b00344,boundary,iov_64_+1,pwritev_full_1m,candidate,4,BAAB,pwritev_full_1m,process,9100,65,4
b00345,boundary,iov_64_+1,pwritev_64_1m,baseline,1,ABBA,k_pwrite,process,9100,65,4
b00346,boundary,iov_64_+1,pwritev_64_1m,candidate,2,ABBA,pwritev_64_1m,process,9100,65,4
b00347,boundary,iov_64_+1,pwritev_64_1m,candidate,3,ABBA,pwritev_64_1m,process,9100,65,4
b00348,boundary,iov_64_+1,pwritev_64_1m,baseline,4,ABBA,k_pwrite,process,9100,65,4
b00349,boundary,iov_64_+1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,9100,65,4
b00350,boundary,iov_64_+1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,9100,65,4
b00351,boundary,iov_64_+1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,9100,65,4
b00352,boundary,iov_64_+1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,9100,65,4
b00353,boundary,iov_256_-1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,35700,255,4
b00354,boundary,iov_256_-1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,35700,255,4
b00355,boundary,iov_256_-1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,35700,255,4
b00356,boundary,iov_256_-1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,35700,255,4
b00357,boundary,iov_256_-1,pwritev_64_1m,candidate,1,BAAB,pwritev_64_1m,process,35700,255,4
b00358,boundary,iov_256_-1,pwritev_64_1m,baseline,2,BAAB,k_pwrite,process,35700,255,4
b00359,boundary,iov_256_-1,pwritev_64_1m,baseline,3,BAAB,k_pwrite,process,35700,255,4
b00360,boundary,iov_256_-1,pwritev_64_1m,candidate,4,BAAB,pwritev_64_1m,process,35700,255,4
b00361,boundary,iov_256_-1,copy_contiguous,baseline,1,ABBA,k_pwrite,process,35700,255,4
b00362,boundary,iov_256_-1,copy_contiguous,candidate,2,ABBA,copy_contiguous,process,35700,255,4
b00363,boundary,iov_256_-1,copy_contiguous,candidate,3,ABBA,copy_contiguous,process,35700,255,4
b00364,boundary,iov_256_-1,copy_contiguous,baseline,4,ABBA,k_pwrite,process,35700,255,4
b00365,boundary,iov_256_+0,pwritev_full_1m,candidate,1,BAAB,pwritev_full_1m,process,35840,256,4
b00366,boundary,iov_256_+0,pwritev_full_1m,baseline,2,BAAB,k_pwrite,process,35840,256,4
b00367,boundary,iov_256_+0,pwritev_full_1m,baseline,3,BAAB,k_pwrite,process,35840,256,4
b00368,boundary,iov_256_+0,pwritev_full_1m,candidate,4,BAAB,pwritev_full_1m,process,35840,256,4
b00369,boundary,iov_256_+0,pwritev_64_1m,baseline,1,ABBA,k_pwrite,process,35840,256,4
b00370,boundary,iov_256_+0,pwritev_64_1m,candidate,2,ABBA,pwritev_64_1m,process,35840,256,4
b00371,boundary,iov_256_+0,pwritev_64_1m,candidate,3,ABBA,pwritev_64_1m,process,35840,256,4
b00372,boundary,iov_256_+0,pwritev_64_1m,baseline,4,ABBA,k_pwrite,process,35840,256,4
b00373,boundary,iov_256_+0,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,35840,256,4
b00374,boundary,iov_256_+0,copy_contiguous,baseline,2,BAAB,k_pwrite,process,35840,256,4
b00375,boundary,iov_256_+0,copy_contiguous,baseline,3,BAAB,k_pwrite,process,35840,256,4
b00376,boundary,iov_256_+0,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,35840,256,4
b00377,boundary,iov_256_+1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,35980,257,4
b00378,boundary,iov_256_+1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,35980,257,4
b00379,boundary,iov_256_+1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,35980,257,4
b00380,boundary,iov_256_+1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,35980,257,4
b00381,boundary,iov_256_+1,pwritev_256_1m,candidate,1,BAAB,pwritev_256_1m,process,35980,257,4
b00382,boundary,iov_256_+1,pwritev_256_1m,baseline,2,BAAB,k_pwrite,process,35980,257,4
b00383,boundary,iov_256_+1,pwritev_256_1m,baseline,3,BAAB,k_pwrite,process,35980,257,4
b00384,boundary,iov_256_+1,pwritev_256_1m,candidate,4,BAAB,pwritev_256_1m,process,35980,257,4
b00385,boundary,iov_256_+1,pwritev_64_1m,baseline,1,ABBA,k_pwrite,process,35980,257,4
b00386,boundary,iov_256_+1,pwritev_64_1m,candidate,2,ABBA,pwritev_64_1m,process,35980,257,4
b00387,boundary,iov_256_+1,pwritev_64_1m,candidate,3,ABBA,pwritev_64_1m,process,35980,257,4
b00388,boundary,iov_256_+1,pwritev_64_1m,baseline,4,ABBA,k_pwrite,process,35980,257,4
b00389,boundary,iov_256_+1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,35980,257,4
b00390,boundary,iov_256_+1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,35980,257,4
b00391,boundary,iov_256_+1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,35980,257,4
b00392,boundary,iov_256_+1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,35980,257,4
b00393,boundary,iov_1024_-1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,143220,1023,4
b00394,boundary,iov_1024_-1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,143220,1023,4
b00395,boundary,iov_1024_-1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,143220,1023,4
b00396,boundary,iov_1024_-1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,143220,1023,4
b00397,boundary,iov_1024_-1,pwritev_256_1m,candidate,1,BAAB,pwritev_256_1m,process,143220,1023,4
b00398,boundary,iov_1024_-1,pwritev_256_1m,baseline,2,BAAB,k_pwrite,process,143220,1023,4
b00399,boundary,iov_1024_-1,pwritev_256_1m,baseline,3,BAAB,k_pwrite,process,143220,1023,4
b00400,boundary,iov_1024_-1,pwritev_256_1m,candidate,4,BAAB,pwritev_256_1m,process,143220,1023,4
b00401,boundary,iov_1024_-1,pwritev_64_1m,baseline,1,ABBA,k_pwrite,process,143220,1023,4
b00402,boundary,iov_1024_-1,pwritev_64_1m,candidate,2,ABBA,pwritev_64_1m,process,143220,1023,4
b00403,boundary,iov_1024_-1,pwritev_64_1m,candidate,3,ABBA,pwritev_64_1m,process,143220,1023,4
b00404,boundary,iov_1024_-1,pwritev_64_1m,baseline,4,ABBA,k_pwrite,process,143220,1023,4
b00405,boundary,iov_1024_-1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,143220,1023,4
b00406,boundary,iov_1024_-1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,143220,1023,4
b00407,boundary,iov_1024_-1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,143220,1023,4
b00408,boundary,iov_1024_-1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,143220,1023,4
b00409,boundary,iov_1024_+0,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,143360,1024,4
b00410,boundary,iov_1024_+0,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,143360,1024,4
b00411,boundary,iov_1024_+0,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,143360,1024,4
b00412,boundary,iov_1024_+0,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,143360,1024,4
b00413,boundary,iov_1024_+0,pwritev_256_1m,candidate,1,BAAB,pwritev_256_1m,process,143360,1024,4
b00414,boundary,iov_1024_+0,pwritev_256_1m,baseline,2,BAAB,k_pwrite,process,143360,1024,4
b00415,boundary,iov_1024_+0,pwritev_256_1m,baseline,3,BAAB,k_pwrite,process,143360,1024,4
b00416,boundary,iov_1024_+0,pwritev_256_1m,candidate,4,BAAB,pwritev_256_1m,process,143360,1024,4
b00417,boundary,iov_1024_+0,pwritev_64_1m,baseline,1,ABBA,k_pwrite,process,143360,1024,4
b00418,boundary,iov_1024_+0,pwritev_64_1m,candidate,2,ABBA,pwritev_64_1m,process,143360,1024,4
b00419,boundary,iov_1024_+0,pwritev_64_1m,candidate,3,ABBA,pwritev_64_1m,process,143360,1024,4
b00420,boundary,iov_1024_+0,pwritev_64_1m,baseline,4,ABBA,k_pwrite,process,143360,1024,4
b00421,boundary,iov_1024_+0,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,143360,1024,4
b00422,boundary,iov_1024_+0,copy_contiguous,baseline,2,BAAB,k_pwrite,process,143360,1024,4
b00423,boundary,iov_1024_+0,copy_contiguous,baseline,3,BAAB,k_pwrite,process,143360,1024,4
b00424,boundary,iov_1024_+0,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,143360,1024,4
b00425,boundary,iov_1024_+1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,143500,1025,4
b00426,boundary,iov_1024_+1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,143500,1025,4
b00427,boundary,iov_1024_+1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,143500,1025,4
b00428,boundary,iov_1024_+1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,143500,1025,4
b00429,boundary,iov_1024_+1,pwritev_256_1m,candidate,1,BAAB,pwritev_256_1m,process,143500,1025,4
b00430,boundary,iov_1024_+1,pwritev_256_1m,baseline,2,BAAB,k_pwrite,process,143500,1025,4
b00431,boundary,iov_1024_+1,pwritev_256_1m,baseline,3,BAAB,k_pwrite,process,143500,1025,4
b00432,boundary,iov_1024_+1,pwritev_256_1m,candidate,4,BAAB,pwritev_256_1m,process,143500,1025,4
b00433,boundary,iov_1024_+1,pwritev_64_1m,baseline,1,ABBA,k_pwrite,process,143500,1025,4
b00434,boundary,iov_1024_+1,pwritev_64_1m,candidate,2,ABBA,pwritev_64_1m,process,143500,1025,4
b00435,boundary,iov_1024_+1,pwritev_64_1m,candidate,3,ABBA,pwritev_64_1m,process,143500,1025,4
b00436,boundary,iov_1024_+1,pwritev_64_1m,baseline,4,ABBA,k_pwrite,process,143500,1025,4
b00437,boundary,iov_1024_+1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,143500,1025,4
b00438,boundary,iov_1024_+1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,143500,1025,4
b00439,boundary,iov_1024_+1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,143500,1025,4
b00440,boundary,iov_1024_+1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,143500,1025,4
