variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,groups,sample_stride,sampled_gathers_delta,sampled_gather_intents_delta,sampled_max_group_width_before,sampled_max_group_width_after,sampled_close_os_delta,sampled_close_capacity_delta,sampled_close_bytes_delta,sampled_close_deadline_delta,sampled_close_inflight_drained_delta,sampled_close_disconnected_delta,sampled_commit_groups_delta,sampled_direct_commit_nanos_delta,sampled_post_io_to_frontier_nanos_delta,sampled_frontier_to_first_completion_nanos_delta,sampled_first_to_last_completion_nanos_delta
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,10,1,process,100,4,2500,250,1000000,3520116,104.2,232.2,0,64,98,165,1,4,0,0,0,98,0,0,98,2772057,50000,184570,185160
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,1,1,group,1000,4,100,250,400000,909468,4113.6,7513.2,107,64,1,3,1,3,0,0,0,1,0,0,1,3240056,1670,870,3260
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,2,1,group,1000,4,100,250,400000,924797,4117.2,7372.9,100,64,1,4,1,4,0,0,0,0,1,0,1,3320406,1490,810,4360
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,3,1,group,1000,4,100,250,400000,932922,4066.3,7865.5,104,64,1,4,1,4,0,0,0,0,1,0,1,3296896,1600,1050,4320
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,4,1,group,1000,4,100,250,400000,955863,4071.1,7065.4,100,64,1,4,1,4,0,0,0,0,1,0,1,3265475,1800,1050,4980
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,5,1,group,1000,4,100,250,400000,954585,4091.4,7046.6,102,64,1,4,1,4,0,0,0,0,1,0,1,3303575,1530,910,6410
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,6,1,group,1000,4,100,250,400000,940406,4101.3,7198.1,101,64,1,4,1,4,0,0,0,0,1,0,1,3252615,1940,1020,4920
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,7,1,group,1000,4,100,250,400000,915858,4136.2,7472.4,102,64,1,4,1,4,0,0,0,0,1,0,1,3302255,1190,630,4130
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,8,1,group,1000,4,100,250,400000,932544,4093.6,7588.4,104,64,1,4,1,4,0,0,0,0,1,0,1,3304845,1760,1080,5740
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,9,1,group,1000,4,100,250,400000,957617,4033.1,7409.4,101,64,1,4,1,4,0,0,0,0,1,0,1,3288406,1100,710,2700
candidate,1da7b53c4ff74df6cb9a28ce23b1389aef234060,5d82e3c91c7bdc92b65040129ed731bdb806d6db29d6ad643d9ab32c4f751797,10,1,group,1000,4,100,250,400000,954580,4034.4,6986.5,103,64,1,4,1,4,0,0,0,0,1,0,1,3358236,2840,1310,7000
