variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,1,process,1,4,40000,250,160000,145154,25.5,52.3,2659764,424519108,16.6235,2653.24,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.16,5.16
candidate,4993f66a15839d5eac455e2891af828e397c6e3b,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,1,2,process,1,4,40000,250,160000,136420,27.1,56.5,2656689,423363620,16.6043,2646.02,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.16,5.55
candidate,4993f66a15839d5eac455e2891af828e397c6e3b,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,1,3,process,1,4,40000,250,160000,133228,27.3,60.6,2655748,423047244,16.5984,2644.05,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.55,5.55
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,4,process,1,4,40000,250,160000,145760,25.1,53.2,2659297,424402824,16.6206,2652.52,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.55,5.55
candidate,4993f66a15839d5eac455e2891af828e397c6e3b,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,2,1,process,1,4,40000,250,160000,137410,26.8,56.3,2653301,422299176,16.5831,2639.37,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.42,5.42
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,2,process,1,4,40000,250,160000,142377,25.5,54.4,2662169,425303464,16.6386,2658.15,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.42,5.42
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,3,process,1,4,40000,250,160000,146865,25.1,56.1,2660547,424822604,16.6284,2655.14,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.42,5.79
candidate,4993f66a15839d5eac455e2891af828e397c6e3b,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,2,4,process,1,4,40000,250,160000,139542,26.6,53.1,2656693,423288212,16.6043,2645.55,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.79,5.79
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,1,process,1,4,40000,250,160000,151740,24.4,51.2,2661953,425270736,16.6372,2657.94,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.79,5.79
candidate,4993f66a15839d5eac455e2891af828e397c6e3b,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,3,2,process,1,4,40000,250,160000,142266,25.7,53.7,2656150,423170712,16.6009,2644.82,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.79,5.65
