cell,engine,mode,payload,batch,writers,bpw,shape,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
proc-p24-b100,b1,process,24,100,4,2500,perwriter,2,2393333,0.4178,104.5,270.4,0,0.0
proc-p24-b100,b0d,process,24,100,4,2500,perwriter,2,3020955,0.3310,86.5,204.4,0,0.0
proc-p24-b100,b0dth,process,24,100,4,2500,perwriter,2,6846221,0.1461,44.0,71.9,0,0.0
group-p24-b100,bare,group,24,100,4,500,perwriter,0,143794,1.3909,2570.1,5666.8,506,2665.2
group-p24-b100,log,group,24,100,4,500,perwriter,0,106526,1.8775,2916.2,6868.7,638,2773.9
group-p24-b100,b0,group,24,100,4,500,perwriter,0,129776,1.5411,2785.2,5516.2,500,2767.7
group-p24-b100,b1,group,24,100,4,500,perwriter,0,127488,1.5688,2779.2,8987.7,501,2793.0
group-p24-b100,b0d,group,24,100,4,500,perwriter,0,137766,1.4517,2752.5,6002.3,500,2604.5
group-p24-b100,b0dth,group,24,100,4,500,perwriter,0,140185,1.4267,2774.1,5801.6,502,2556.8
group-p24-b100,b0dth,group,24,100,4,500,perwriter,1,141593,1.4125,2715.3,3933.8,503,2518.6
group-p24-b100,b0d,group,24,100,4,500,perwriter,1,138386,1.4452,2755.0,5962.4,500,2587.8
group-p24-b100,b1,group,24,100,4,500,perwriter,1,133337,1.5000,2770.5,6328.0,500,2680.7
group-p24-b100,b0,group,24,100,4,500,perwriter,1,142705,1.4015,2755.1,3185.3,500,2488.5
group-p24-b100,log,group,24,100,4,500,perwriter,1,142494,1.4036,2696.3,3035.1,511,2493.0
group-p24-b100,bare,group,24,100,4,500,perwriter,1,144785,1.3814,2549.1,5707.3,502,2660.2
group-p24-b100,bare,group,24,100,4,500,perwriter,2,142094,1.4075,2566.6,4366.5,502,2725.5
group-p24-b100,log,group,24,100,4,500,perwriter,2,134234,1.4899,2744.5,4650.7,512,2652.5
group-p24-b100,b0,group,24,100,4,500,perwriter,2,125141,1.5982,2779.3,10653.5,500,2887.5
group-p24-b100,b1,group,24,100,4,500,perwriter,2,126733,1.5781,2798.2,6483.7,502,2816.5
group-p24-b100,b0d,group,24,100,4,500,perwriter,2,134569,1.4862,2772.2,4590.5,501,2662.5
group-p24-b100,b0dth,group,24,100,4,500,perwriter,2,137388,1.4557,2732.6,4701.1,500,2644.8
proc-p250-b10,bare,process,250,10,4,12500,perwriter,0,1900289,0.2631,18.6,32.6,0,0.0
proc-p250-b10,log,process,250,10,4,12500,perwriter,0,519492,0.9625,68.1,156.9,0,0.0
proc-p250-b10,b0,process,250,10,4,12500,perwriter,0,697077,0.7173,50.3,106.6,0,0.0
