variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,1,process,1,4,40000,250,160000,147419,24.6,56.0,2659977,424601944,16.6249,2653.76,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.37,4.58
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,1,2,process,1,4,40000,250,160000,138196,26.3,60.2,2656710,423317520,16.6044,2645.73,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.58,4.58
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,1,3,process,1,4,40000,250,160000,139361,26.5,55.0,2658516,423857544,16.6157,2649.11,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.58,4.58
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,4,process,1,4,40000,250,160000,145906,24.8,52.2,2662524,425432368,16.6408,2658.95,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.58,4.53
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,2,1,process,1,4,40000,250,160000,134473,27.2,58.4,2656867,423398760,16.6054,2646.24,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.53,4.53
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,2,process,1,4,40000,250,160000,150904,24.6,53.7,2661666,425224416,16.6354,2657.65,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.53,4.53
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,3,process,1,4,40000,250,160000,137452,25.1,67.7,2664452,425994380,16.6528,2662.46,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.53,4.49
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,2,4,process,1,4,40000,250,160000,118050,28.1,99.9,2659310,423980288,16.6207,2649.88,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.49,4.49
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,1,process,1,4,40000,250,160000,144273,24.8,57.5,2662104,425270200,16.6381,2657.94,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.49,4.37
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,3,2,process,1,4,40000,250,160000,127162,27.4,66.7,2657521,423482780,16.6095,2646.77,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.37,4.37
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,3,3,process,1,4,40000,250,160000,131064,27.1,62.3,2657933,423599444,16.6121,2647.50,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.37,4.37
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,4,process,1,4,40000,250,160000,137235,25.2,63.6,2662956,425497416,16.6435,2659.36,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.37,4.58
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,4,1,process,1,4,40000,250,160000,137342,26.6,58.0,2657633,423560912,16.6102,2647.26,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.58,4.58
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,4,2,process,1,4,40000,250,160000,145468,24.3,53.5,2662107,425229556,16.6382,2657.68,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.58,4.58
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,4,3,process,1,4,40000,250,160000,138753,25.3,61.1,2663495,425750428,16.6468,2660.94,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.58,4.53
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,4,4,process,1,4,40000,250,160000,137388,26.4,59.9,2657461,423519564,16.6091,2647.00,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.53,4.53
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,5,1,process,1,4,40000,250,160000,139184,25.1,64.3,2663125,425599436,16.6445,2660.00,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.53,4.53
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,5,2,process,1,4,40000,250,160000,134035,27.0,58.1,2656468,423203316,16.6029,2645.02,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.33,4.33
