variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,1,process,1,4,40000,250,160000,142370,25.3,61.2,2664130,426060044,16.6508,2662.88,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.65,5.65
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,1,2,process,1,4,40000,250,160000,135027,27.2,56.1,2657091,423409248,16.6068,2646.31,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.65,6.88
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,1,3,process,1,4,40000,250,160000,144599,25.7,50.9,2655525,423022584,16.5970,2643.89,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.69,5.69
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,4,process,1,4,40000,250,160000,145287,25.1,51.6,2661528,425132020,16.6346,2657.08,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.69,5.88
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,2,1,process,1,4,40000,250,160000,136145,26.9,56.9,2657897,423675180,16.6119,2647.97,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.88,5.88
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,2,process,1,4,40000,250,160000,142850,25.5,53.9,2663149,425629460,16.6447,2660.18,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.88,5.88
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,3,process,1,4,40000,250,160000,151085,24.6,54.2,2659380,424405540,16.6211,2652.53,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.88,6.05
candidate,35fb7585b27a66323d9d46939aaaeff27dc792ce,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,2,4,process,1,4,40000,250,160000,141861,25.5,62.4,2654385,422582524,16.5899,2641.14,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.79,5.79
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,1,process,1,4,40000,250,160000,99265,25.1,158.1,2688810,431055716,16.8051,2694.10,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,5.79,6.37
