variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,1,process,1,4,40000,250,160000,148549,24.8,54.0,2660321,424716204,16.6270,2654.48,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.37,4.37
candidate,4993f66a15839d5eac455e2891af828e397c6e3b,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,1,2,process,1,4,40000,250,160000,140825,26.2,55.3,2656948,423375492,16.6059,2646.10,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.37,4.5
candidate,4993f66a15839d5eac455e2891af828e397c6e3b,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,1,3,process,1,4,40000,250,160000,140232,26.2,53.0,2657613,423603060,16.6101,2647.52,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.5,4.5
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,4,process,1,4,40000,250,160000,147019,25.1,54.5,2660200,424624336,16.6262,2653.90,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.5,4.5
candidate,4993f66a15839d5eac455e2891af828e397c6e3b,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,2,1,process,1,4,40000,250,160000,138418,26.9,57.5,2658868,424038592,16.6179,2650.24,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.5,4.38
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,2,process,1,4,40000,250,160000,151849,24.3,51.0,2660836,424893936,16.6302,2655.59,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.38,4.38
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,3,process,1,4,40000,250,160000,146391,25.0,52.7,2661282,425090328,16.6330,2656.81,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.38,4.38
candidate,4993f66a15839d5eac455e2891af828e397c6e3b,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,2,4,process,1,4,40000,250,160000,141852,25.6,59.0,2656653,423321332,16.6041,2645.76,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.38,4.35
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,1,process,1,4,40000,250,160000,152942,24.2,49.6,2660930,424948096,16.6308,2655.93,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.35,4.35
candidate,4993f66a15839d5eac455e2891af828e397c6e3b,afbb7ab5a64bd8c6f730ee97178ada1b650e44ba1b4fa46aeb590fccf45a61fa,3,2,process,1,4,40000,250,160000,142134,25.9,52.7,2655230,422951652,16.5952,2643.45,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.35,4.35
