variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,1,1,process,1,4,40000,250,160000,148070,23.9,48.2,2659703,424482872,16.6231,2653.02,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.14,3.14
candidate,2c58be4d03472af1362d1287ccbabe0f7fea4fad,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,1,2,process,1,4,40000,250,160000,151703,24.7,47.7,2018157,344571712,12.6135,2153.57,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.14,3.29
candidate,2c58be4d03472af1362d1287ccbabe0f7fea4fad,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,1,3,process,1,4,40000,250,160000,166058,22.5,43.5,2017535,344651428,12.6096,2154.07,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.29,3.29
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,1,4,process,1,4,40000,250,160000,146087,24.9,54.9,2658495,424238392,16.6156,2651.49,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.29,3.29
candidate,2c58be4d03472af1362d1287ccbabe0f7fea4fad,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,2,1,process,1,4,40000,250,160000,156574,23.1,44.8,2016456,344181816,12.6029,2151.14,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.29,3.19
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,2,2,process,1,4,40000,250,160000,146198,24.8,51.0,2658442,424093212,16.6153,2650.58,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.19,3.19
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,2,3,process,1,4,40000,250,160000,157460,23.3,47.1,2658602,424224072,16.6163,2651.40,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.19,3.19
candidate,2c58be4d03472af1362d1287ccbabe0f7fea4fad,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,2,4,process,1,4,40000,250,160000,152544,24.1,53.1,2017581,344481192,12.6099,2153.01,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.19,3.33
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,3,1,process,1,4,40000,250,160000,138711,26.0,48.4,2656882,423633184,16.6055,2647.71,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.33,3.33
candidate,2c58be4d03472af1362d1287ccbabe0f7fea4fad,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,3,2,process,1,4,40000,250,160000,149940,24.4,51.7,2017475,344567516,12.6092,2153.55,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.33,3.33
candidate,2c58be4d03472af1362d1287ccbabe0f7fea4fad,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,3,3,process,1,4,40000,250,160000,146905,24.5,51.8,2017410,344503996,12.6088,2153.15,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.23,3.23
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,3,4,process,1,4,40000,250,160000,147024,24.7,51.3,2657816,423965404,16.6114,2649.78,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.23,3.23
candidate,2c58be4d03472af1362d1287ccbabe0f7fea4fad,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,4,1,process,1,4,40000,250,160000,154075,23.9,54.7,2017918,344788520,12.6120,2154.93,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.23,3.21
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,4,2,process,1,4,40000,250,160000,144625,25.1,53.1,2659317,424375308,16.6207,2652.35,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.21,3.21
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,4,3,process,1,4,40000,250,160000,155036,23.8,47.3,2659954,424742272,16.6247,2654.64,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.21,3.21
