mode,batch,throughput_B_over_A,p99_B_over_A,allocs_B_over_A,bytes_B_over_A,fsync_B_minus_A,verdict
process,1,1.038882,0.998008,0.758847,0.812071,0.0,PASS
process,10,1.248456,0.811243,0.442847,0.664498,0.0,PASS
process,100,1.249996,0.774807,0.538744,0.899880,0.0,PASS
process,1000,1.541280,0.755206,0.504986,0.913238,0.0,PASS
group,1,0.993808,1.079132,0.762460,0.810323,-0.5,PASS
group,10,1.003440,0.996220,0.444052,0.665757,0.5,FAIL
group,100,1.026615,0.936225,0.538583,0.899005,-0.5,PASS
group,1000,1.090351,1.015216,0.504843,0.913171,-3.0,PASS
