cell,engine,mode,payload,batch,writers,bpw,kind,rep,ev_s,per_append_us,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
group-p24-b10-w4,bare,group,24,10,4,500,stable,2,14840,673.8699,1.3477,2520.5,4546.4,502,2632.3
group-p24-b10-w4,log,group,24,10,4,500,stable,2,14422,693.3675,1.3867,2691.9,5809.3,504,2501.8
proc-p24-b100-w1,bare,process,24,100,1,2500,stable,0,3162173,31.6238,0.0791,17.1,35.8,0,0.0
proc-p24-b100-w1,log,process,24,100,1,2500,stable,0,1878761,53.2266,0.1331,36.6,63.0,0,0.0
proc-p24-b100-w1,log,process,24,100,1,2500,stable,1,2068284,48.3493,0.1209,35.5,60.0,0,0.0
proc-p24-b100-w1,bare,process,24,100,1,2500,stable,1,3834014,26.0823,0.0652,15.0,27.8,0,0.0
proc-p24-b100-w1,bare,process,24,100,1,2500,stable,2,3406975,29.3516,0.0734,16.1,35.8,0,0.0
proc-p24-b100-w1,log,process,24,100,1,2500,stable,2,1934901,51.6822,0.1292,36.5,57.1,0,0.0
group-p24-b100-w1,bare,group,24,100,1,300,stable,0,39747,2515.9024,0.7548,2495.2,2856.0,300,2476.6
group-p24-b100-w1,log,group,24,100,1,300,stable,0,34594,2890.6391,0.8672,2691.5,5847.8,300,2633.6
group-p24-b100-w1,log,group,24,100,1,300,stable,1,35731,2798.7161,0.8396,2697.9,5901.5,300,2537.2
group-p24-b100-w1,bare,group,24,100,1,300,stable,1,39652,2521.9310,0.7566,2492.9,2970.4,300,2473.5
group-p24-b100-w1,bare,group,24,100,1,300,stable,2,39882,2507.4247,0.7522,2490.8,2586.2,300,2472.1
group-p24-b100-w1,log,group,24,100,1,300,stable,2,35694,2801.6209,0.8405,2694.7,5904.5,300,2545.9
proc-p24-b100-w4,bare,process,24,100,4,2500,stable,0,9290060,10.7642,0.1076,29.3,57.6,0,0.0
proc-p24-b100-w4,log,process,24,100,4,2500,stable,0,2406276,41.5580,0.4156,119.3,261.7,0,0.0
proc-p24-b100-w4,log,process,24,100,4,2500,stable,1,2161110,46.2725,0.4627,141.8,271.6,0,0.0
proc-p24-b100-w4,bare,process,24,100,4,2500,stable,1,10020081,9.9800,0.0998,29.9,52.6,0,0.0
proc-p24-b100-w4,bare,process,24,100,4,2500,stable,2,9779535,10.2254,0.1023,28.4,51.4,0,0.0
proc-p24-b100-w4,log,process,24,100,4,2500,stable,2,2415118,41.4058,0.4141,127.1,249.4,0,0.0
group-p24-b100-w4,bare,group,24,100,4,300,stable,0,150794,663.1579,0.7958,2506.2,5698.8,301,2560.8
group-p24-b100-w4,log,group,24,100,4,300,stable,0,141290,707.7637,0.8493,2754.3,3072.3,303,2480.4
group-p24-b100-w4,log,group,24,100,4,300,stable,1,141064,708.8989,0.8507,2754.4,3254.3,303,2487.5
group-p24-b100-w4,bare,group,24,100,4,300,stable,1,156567,638.7042,0.7664,2504.1,2864.2,301,2468.7
group-p24-b100-w4,bare,group,24,100,4,300,stable,2,146317,683.4485,0.8201,2506.0,8803.9,302,2632.8
group-p24-b100-w4,log,group,24,100,4,300,stable,2,137535,727.0879,0.8725,2750.9,8969.4,303,2560.6
proc-p24-b1000-w1,bare,process,24,1000,1,250,stable,0,3396425,294.4273,0.0736,53.4,77.1,0,0.0
proc-p24-b1000-w1,log,process,24,1000,1,250,stable,0,4640233,215.5064,0.0539,95.7,192.7,0,0.0
proc-p24-b1000-w1,log,process,24,1000,1,250,stable,1,4429132,225.7778,0.0564,114.4,172.2,0,0.0
proc-p24-b1000-w1,bare,process,24,1000,1,250,stable,1,3781686,264.4323,0.0661,57.7,99.5,0,0.0
proc-p24-b1000-w1,bare,process,24,1000,1,250,stable,2,3409998,293.2553,0.0733,57.7,106.5,0,0.0
proc-p24-b1000-w1,log,process,24,1000,1,250,stable,2,4880324,204.9044,0.0512,89.2,146.1,0,0.0
group-p24-b1000-w1,bare,group,24,1000,1,100,stable,0,336168,2974.6991,0.2975,2567.5,5679.4,100,2701.3
group-p24-b1000-w1,log,group,24,1000,1,100,stable,0,338196,2956.8634,0.2957,2796.6,4744.7,100,2585.4
group-p24-b1000-w1,log,group,24,1000,1,100,stable,1,336056,2975.6982,0.2976,2784.2,4739.2,100,2594.8
group-p24-b1000-w1,bare,group,24,1000,1,100,stable,1,344763,2900.5456,0.2901,2581.2,5620.1,100,2585.0
group-p24-b1000-w1,bare,group,24,1000,1,100,stable,2,345870,2891.2559,0.2891,2572.4,4180.9,100,2615.0
group-p24-b1000-w1,log,group,24,1000,1,100,stable,2,335352,2981.9429,0.2982,2831.2,4582.3,100,2605.4
proc-p24-b1000-w4,bare,process,24,1000,4,250,stable,0,4076334,245.3184,0.2453,775.0,1124.6,0,0.0
proc-p24-b1000-w4,log,process,24,1000,4,250,stable,0,10606134,94.2851,0.0943,110.8,250.9,0,0.0
proc-p24-b1000-w4,log,process,24,1000,4,250,stable,1,10559041,94.7056,0.0947,108.3,249.0,0,0.0
proc-p24-b1000-w4,bare,process,24,1000,4,250,stable,1,3896470,256.6426,0.2566,830.8,1069.9,0,0.0
proc-p24-b1000-w4,bare,process,24,1000,4,250,stable,2,4026359,248.3633,0.2484,791.8,1061.7,0,0.0
proc-p24-b1000-w4,log,process,24,1000,4,250,stable,2,10424786,95.9252,0.0959,112.8,201.4,0,0.0
group-p24-b1000-w4,bare,group,24,1000,4,100,stable,0,987789,1012.3624,0.4049,3539.8,5660.3,101,3554.8
group-p24-b1000-w4,log,group,24,1000,4,100,stable,0,871027,1148.0698,0.4592,4314.0,6800.5,103,3868.6
group-p24-b1000-w4,log,group,24,1000,4,100,stable,1,1069060,935.4012,0.3742,3077.5,6378.8,106,2889.5
group-p24-b1000-w4,bare,group,24,1000,4,100,stable,1,1193750,837.6966,0.3351,3128.8,4827.5,100,2886.7
group-p24-b1000-w4,bare,group,24,1000,4,100,stable,2,1160365,861.7979,0.3447,3074.0,5912.9,101,2954.9
group-p24-b1000-w4,log,group,24,1000,4,100,stable,2,1074971,930.2575,0.3721,3089.2,6149.8,103,2989.2
proc-p250-b1-w1,bare,process,250,1,1,40000,stable,0,100798,9.9208,0.3968,8.9,20.0,0,0.0
proc-p250-b1-w1,log,process,250,1,1,40000,stable,0,56188,17.7975,0.7119,16.1,33.9,0,0.0
proc-p250-b1-w1,log,process,250,1,1,40000,stable,1,53105,18.8306,0.7532,16.4,39.9,0,0.0
proc-p250-b1-w1,bare,process,250,1,1,40000,stable,1,95945,10.4226,0.4169,9.3,20.4,0,0.0
proc-p250-b1-w1,bare,process,250,1,1,40000,stable,2,104263,9.5911,0.3836,8.8,17.7,0,0.0
proc-p250-b1-w1,log,process,250,1,1,40000,stable,2,53741,18.6078,0.7443,17.1,34.0,0,0.0
group-p250-b1-w1,bare,group,250,1,1,800,stable,0,388,2579.2309,2.0634,2440.2,5633.7,800,2560.2
group-p250-b1-w1,log,group,250,1,1,800,stable,0,350,2856.4791,2.2852,2679.7,4863.2,800,2626.3
group-p250-b1-w1,log,group,250,1,1,800,stable,1,364,2745.6031,2.1965,2667.7,5794.2,800,2516.3
group-p250-b1-w1,bare,group,250,1,1,800,stable,1,398,2512.0230,2.0096,2449.7,3934.7,800,2492.8
group-p250-b1-w1,bare,group,250,1,1,800,stable,2,384,2606.0304,2.0848,2453.0,5635.9,800,2584.8
group-p250-b1-w1,log,group,250,1,1,800,stable,2,363,2752.2180,2.2018,2674.1,4748.1,800,2521.9
proc-p250-b1-w4,bare,process,250,1,4,40000,stable,0,361526,2.7661,0.4426,10.1,19.9,0,0.0
proc-p250-b1-w4,log,process,250,1,4,40000,stable,0,164194,6.0904,0.9745,22.7,44.5,0,0.0
proc-p250-b1-w4,log,process,250,1,4,40000,stable,1,160047,6.2482,0.9997,23.9,43.1,0,0.0
proc-p250-b1-w4,bare,process,250,1,4,40000,stable,1,358170,2.7920,0.4467,10.2,21.0,0,0.0
proc-p250-b1-w4,bare,process,250,1,4,40000,stable,2,357674,2.7958,0.4473,10.1,21.6,0,0.0
proc-p250-b1-w4,log,process,250,1,4,40000,stable,2,168600,5.9312,0.9490,22.2,40.3,0,0.0
group-p250-b1-w4,bare,group,250,1,4,800,stable,0,1579,633.1221,2.0260,2482.5,5582.8,801,2489.4
group-p250-b1-w4,log,group,250,1,4,800,stable,0,1459,685.2608,2.1928,2686.7,4596.0,804,2484.9
group-p250-b1-w4,log,group,250,1,4,800,stable,1,1399,714.8688,2.2876,2689.3,5821.0,803,2608.0
group-p250-b1-w4,bare,group,250,1,4,800,stable,1,1609,621.5406,1.9889,2481.6,2797.6,801,2443.9
group-p250-b1-w4,bare,group,250,1,4,800,stable,2,1596,626.6637,2.0053,2477.1,5571.6,801,2468.9
group-p250-b1-w4,log,group,250,1,4,800,stable,2,1460,684.7109,2.1911,2686.8,5785.3,803,2483.8
proc-p250-b10-w1,bare,process,250,10,1,12500,stable,0,800296,12.4954,0.1562,11.1,22.0,0,0.0
proc-p250-b10-w1,log,process,250,10,1,12500,stable,0,413122,24.2059,0.3026,22.2,43.4,0,0.0
proc-p250-b10-w1,log,process,250,10,1,12500,stable,1,388400,25.7467,0.3218,24.1,49.1,0,0.0
proc-p250-b10-w1,bare,process,250,10,1,12500,stable,1,739587,13.5211,0.1690,11.7,24.6,0,0.0
proc-p250-b10-w1,bare,process,250,10,1,12500,stable,2,722508,13.8407,0.1730,11.8,25.0,0,0.0
proc-p250-b10-w1,log,process,250,10,1,12500,stable,2,393602,25.4064,0.3176,23.2,47.7,0,0.0
group-p250-b10-w1,bare,group,250,10,1,500,stable,0,3994,2503.5747,1.2518,2485.7,3406.8,500,2478.2
group-p250-b10-w1,log,group,250,10,1,500,stable,0,3716,2691.0395,1.3455,2691.3,2896.6,500,2455.6
group-p250-b10-w1,log,group,250,10,1,500,stable,1,3565,2805.1183,1.4026,2695.0,5991.1,500,2567.5
group-p250-b10-w1,bare,group,250,10,1,500,stable,1,4009,2494.6001,1.2473,2486.8,2716.7,500,2468.7
group-p250-b10-w1,bare,group,250,10,1,500,stable,2,3935,2541.3840,1.2707,2486.5,5749.5,500,2516.7
group-p250-b10-w1,log,group,250,10,1,500,stable,2,3658,2733.7621,1.3669,2693.3,4817.0,500,2489.6
proc-p250-b10-w4,bare,process,250,10,4,12500,stable,0,1846645,5.4152,0.2708,19.3,40.9,0,0.0
proc-p250-b10-w4,log,process,250,10,4,12500,stable,0,1099844,9.0922,0.4546,31.8,66.3,0,0.0
proc-p250-b10-w4,log,process,250,10,4,12500,stable,1,877890,11.3910,0.5695,43.1,79.3,0,0.0
proc-p250-b10-w4,bare,process,250,10,4,12500,stable,1,1949502,5.1295,0.2565,18.3,36.4,0,0.0
