cell,engine,mode,payload,batch,writers,bpw,kind,rep,ev_s,per_append_us,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
group-p24-b10-w4,bare,group,24,10,4,500,stable,2,15658,638.6330,1.2773,2495.0,5602.6,501,2503.2
group-p24-b10-w4,log,group,24,10,4,500,stable,2,8096,1235.1331,2.4703,4909.2,5218.2,1000,2449.5
proc-p24-b100-w1,bare,process,24,100,1,2500,stable,0,4016401,24.8979,0.0622,14.3,27.8,0,0.0
proc-p24-b100-w1,log,process,24,100,1,2500,stable,0,1351365,73.9993,0.1850,63.8,94.4,0,0.0
proc-p24-b100-w1,log,process,24,100,1,2500,stable,1,1768135,56.5568,0.1414,45.1,84.9,0,0.0
proc-p24-b100-w1,bare,process,24,100,1,2500,stable,1,3266738,30.6116,0.0765,15.9,31.7,0,0.0
proc-p24-b100-w1,bare,process,24,100,1,2500,stable,2,3844026,26.0144,0.0650,14.2,30.0,0,0.0
proc-p24-b100-w1,log,process,24,100,1,2500,stable,2,1630243,61.3405,0.1534,52.4,83.2,0,0.0
group-p24-b100-w1,bare,group,24,100,1,300,stable,0,39509,2531.0502,0.7593,2492.2,3530.3,300,2494.1
group-p24-b100-w1,log,group,24,100,1,300,stable,0,39347,2541.5068,0.7625,2507.7,2786.3,300,2451.2
group-p24-b100-w1,log,group,24,100,1,300,stable,1,39166,2553.2320,0.7660,2508.4,2805.2,300,2465.3
group-p24-b100-w1,bare,group,24,100,1,300,stable,1,39660,2521.4630,0.7564,2492.0,2718.5,300,2485.8
group-p24-b100-w1,bare,group,24,100,1,300,stable,2,39104,2557.2845,0.7672,2515.8,3224.6,300,2508.1
group-p24-b100-w1,log,group,24,100,1,300,stable,2,35939,2782.5163,0.8348,2575.1,5840.1,300,2669.0
proc-p24-b100-w4,bare,process,24,100,4,2500,stable,0,8907420,11.2266,0.1123,30.5,80.0,0,0.0
proc-p24-b100-w4,log,process,24,100,4,2500,stable,0,1995791,50.1055,0.5011,141.5,475.0,0,0.0
proc-p24-b100-w4,log,process,24,100,4,2500,stable,1,2143311,46.6568,0.4666,128.1,314.8,0,0.0
proc-p24-b100-w4,bare,process,24,100,4,2500,stable,1,8852167,11.2967,0.1130,30.5,71.5,0,0.0
proc-p24-b100-w4,bare,process,24,100,4,2500,stable,2,8900379,11.2355,0.1124,29.7,72.4,0,0.0
proc-p24-b100-w4,log,process,24,100,4,2500,stable,2,1921851,52.0332,0.5203,141.6,650.3,0,0.0
group-p24-b100-w4,bare,group,24,100,4,300,stable,0,138745,720.7446,0.8649,2594.8,5883.1,301,2781.1
group-p24-b100-w4,log,group,24,100,4,300,stable,0,122099,819.0103,0.9828,2778.1,5354.1,310,2921.2
group-p24-b100-w4,log,group,24,100,4,300,stable,1,124932,800.4342,0.9605,2803.9,5973.8,309,2863.1
group-p24-b100-w4,bare,group,24,100,4,300,stable,1,129996,769.2525,0.9231,2657.5,5601.0,302,2968.3
group-p24-b100-w4,bare,group,24,100,4,300,stable,2,132363,755.4999,0.9066,2751.0,6262.9,301,2930.1
group-p24-b100-w4,log,group,24,100,4,300,stable,2,118996,840.3665,1.0084,2892.0,8610.9,305,3043.8
proc-p24-b1000-w1,bare,process,24,1000,1,250,stable,0,3437381,290.9192,0.0727,55.6,91.7,0,0.0
proc-p24-b1000-w1,log,process,24,1000,1,250,stable,0,2712588,368.6516,0.0922,285.5,409.0,0,0.0
proc-p24-b1000-w1,log,process,24,1000,1,250,stable,1,3457501,289.2263,0.0723,219.7,294.1,0,0.0
proc-p24-b1000-w1,bare,process,24,1000,1,250,stable,1,3782045,264.4072,0.0661,55.4,87.5,0,0.0
proc-p24-b1000-w1,bare,process,24,1000,1,250,stable,2,3911437,255.6605,0.0639,53.7,79.0,0,0.0
proc-p24-b1000-w1,log,process,24,1000,1,250,stable,2,3086667,323.9741,0.0810,242.5,345.2,0,0.0
group-p24-b1000-w1,bare,group,24,1000,1,100,stable,0,291639,3428.9002,0.3429,2942.9,6127.0,100,3144.0
group-p24-b1000-w1,log,group,24,1000,1,100,stable,0,343534,2910.9227,0.2911,2766.1,2933.2,100,2519.9
group-p24-b1000-w1,log,group,24,1000,1,100,stable,1,346873,2882.9028,0.2883,2795.2,2932.8,100,2498.7
group-p24-b1000-w1,bare,group,24,1000,1,100,stable,1,354305,2822.4262,0.2822,2585.3,4591.3,100,2552.4
group-p24-b1000-w1,bare,group,24,1000,1,100,stable,2,356985,2801.2360,0.2801,2590.1,3425.5,100,2542.4
group-p24-b1000-w1,log,group,24,1000,1,100,stable,2,351159,2847.7094,0.2848,2741.5,3134.4,100,2512.6
proc-p24-b1000-w4,bare,process,24,1000,4,250,stable,0,4021471,248.6652,0.2487,798.9,1484.7,0,0.0
proc-p24-b1000-w4,log,process,24,1000,4,250,stable,0,3802737,262.9685,0.2630,593.6,1528.3,0,0.0
proc-p24-b1000-w4,log,process,24,1000,4,250,stable,1,3861706,258.9529,0.2590,585.8,1511.1,0,0.0
proc-p24-b1000-w4,bare,process,24,1000,4,250,stable,1,4016612,248.9660,0.2490,794.7,1025.2,0,0.0
proc-p24-b1000-w4,bare,process,24,1000,4,250,stable,2,4130082,242.1260,0.2421,770.0,1380.5,0,0.0
proc-p24-b1000-w4,log,process,24,1000,4,250,stable,2,3767139,265.4534,0.2655,603.9,1595.7,0,0.0
group-p24-b1000-w4,bare,group,24,1000,4,100,stable,0,909123,1099.9615,0.4400,4430.5,6470.7,100,3972.0
group-p24-b1000-w4,log,group,24,1000,4,100,stable,0,565852,1767.2470,0.7069,6817.1,11682.4,199,3345.4
group-p24-b1000-w4,log,group,24,1000,4,100,stable,1,612472,1632.7284,0.6531,6287.4,9455.9,167,3443.6
group-p24-b1000-w4,bare,group,24,1000,4,100,stable,1,1278516,782.1568,0.3129,3053.4,3286.9,100,2690.9
group-p24-b1000-w4,bare,group,24,1000,4,100,stable,2,1239427,806.8243,0.3227,3045.0,6272.7,101,2746.4
group-p24-b1000-w4,log,group,24,1000,4,100,stable,2,790384,1265.2074,0.5061,5204.4,6716.1,168,2614.6
proc-p250-b1-w1,bare,process,250,1,1,40000,stable,0,94466,10.5859,0.4234,8.9,18.6,0,0.0
proc-p250-b1-w1,log,process,250,1,1,40000,stable,0,35169,28.4342,1.1374,25.6,53.6,0,0.0
proc-p250-b1-w1,log,process,250,1,1,40000,stable,1,32398,30.8664,1.2347,28.0,61.9,0,0.0
proc-p250-b1-w1,bare,process,250,1,1,40000,stable,1,97258,10.2819,0.4113,8.9,18.8,0,0.0
proc-p250-b1-w1,bare,process,250,1,1,40000,stable,2,96586,10.3535,0.4141,8.9,18.3,0,0.0
proc-p250-b1-w1,log,process,250,1,1,40000,stable,2,32712,30.5696,1.2228,28.7,52.5,0,0.0
group-p250-b1-w1,bare,group,250,1,1,800,stable,0,404,2474.2012,1.9794,2464.7,2719.1,800,2449.1
group-p250-b1-w1,log,group,250,1,1,800,stable,0,392,2550.0661,2.0401,2501.2,5597.4,800,2490.5
group-p250-b1-w1,log,group,250,1,1,800,stable,1,381,2623.3340,2.0987,2500.2,5695.4,800,2563.1
group-p250-b1-w1,bare,group,250,1,1,800,stable,1,404,2472.8704,1.9783,2438.5,2727.2,800,2445.1
group-p250-b1-w1,bare,group,250,1,1,800,stable,2,402,2485.3247,1.9883,2470.9,3335.5,800,2456.0
group-p250-b1-w1,log,group,250,1,1,800,stable,2,381,2622.5722,2.0981,2504.7,5686.2,800,2559.7
proc-p250-b1-w4,bare,process,250,1,4,40000,stable,0,370648,2.6980,0.4317,9.6,20.0,0,0.0
