variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,1,1,process,1,4,40000,250,160000,145423,25.5,50.4,2660607,424778140,16.6288,2654.86,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,2.97,3.21
candidate,f5e7d61e12e075924e375ae6e170cb1c1ca3adbb,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,1,2,process,1,4,40000,250,160000,166491,23.1,41.5,2016310,344083180,12.6019,2150.52,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.21,3.21
candidate,f5e7d61e12e075924e375ae6e170cb1c1ca3adbb,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,1,3,process,1,4,40000,250,160000,147692,24.7,49.3,2017886,344589388,12.6118,2153.68,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.21,3.51
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,1,4,process,1,4,40000,250,160000,140563,25.3,49.1,2659175,424388720,16.6198,2652.43,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.51,3.51
candidate,f5e7d61e12e075924e375ae6e170cb1c1ca3adbb,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,2,1,process,1,4,40000,250,160000,154625,23.9,48.0,2019742,345290680,12.6234,2158.07,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.51,3.71
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,2,2,process,1,4,40000,250,160000,144321,25.3,52.6,2658328,424020060,16.6146,2650.13,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.71,3.71
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,2,3,process,1,4,40000,250,160000,145335,24.8,51.8,2660479,424894684,16.6280,2655.59,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.71,3.71
candidate,f5e7d61e12e075924e375ae6e170cb1c1ca3adbb,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,2,4,process,1,4,40000,250,160000,150567,23.0,44.5,2016970,344308356,12.6061,2151.93,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.71,3.81
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,3,1,process,1,4,40000,250,160000,148892,25.1,50.4,2658685,424209592,16.6168,2651.31,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.81,3.81
candidate,f5e7d61e12e075924e375ae6e170cb1c1ca3adbb,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,3,2,process,1,4,40000,250,160000,151535,23.9,48.5,2018118,344806440,12.6132,2155.04,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.81,3.75
candidate,f5e7d61e12e075924e375ae6e170cb1c1ca3adbb,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,3,3,process,1,4,40000,250,160000,144658,24.9,51.6,2019546,345142736,12.6222,2157.14,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.75,3.75
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,3,4,process,1,4,40000,250,160000,146924,24.8,50.9,2659482,424484528,16.6218,2653.03,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.75,3.75
candidate,f5e7d61e12e075924e375ae6e170cb1c1ca3adbb,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,4,1,process,1,4,40000,250,160000,151992,23.6,52.1,2018135,344680652,12.6133,2154.25,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.75,3.93
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,4,2,process,1,4,40000,250,160000,146371,25.4,50.1,2660152,424725184,16.6259,2654.53,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.93,3.93
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,4,3,process,1,4,40000,250,160000,152840,24.1,50.7,2659632,424638324,16.6227,2653.99,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.93,3.93
candidate,f5e7d61e12e075924e375ae6e170cb1c1ca3adbb,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,4,4,process,1,4,40000,250,160000,158125,23.8,47.4,2017228,344489592,12.6077,2153.06,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.93,3.86
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,5,1,process,1,4,40000,250,160000,149662,24.8,48.3,2660300,424646572,16.6269,2654.04,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.86,3.86
candidate,f5e7d61e12e075924e375ae6e170cb1c1ca3adbb,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,5,2,process,1,4,40000,250,160000,142947,25.1,55.3,2019281,345089040,12.6205,2156.81,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.86,3.86
candidate,f5e7d61e12e075924e375ae6e170cb1c1ca3adbb,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,5,3,process,1,4,40000,250,160000,155134,24.1,45.9,2020291,345448436,12.6268,2159.05,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.86,3.79
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,5,4,process,1,4,40000,250,160000,145201,25.0,50.2,2661782,425123032,16.6361,2657.02,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.79,3.79
control,842973a7cf10551abf5d145720361ef4c8260271,1146ed2934597e892e4d936d2c6e14425fbfe66fa4370f326f40937b4648eb7c,1,1,process,10,4,12500,250,500000,765681,49.2,101.1,2717477,568470120,5.4350,1136.94,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,3.79,3.79
candidate,f5e7d61e12e075924e375ae6e170cb1c1ca3adbb,9043226759b819b01dadf954119c78f866d78b93fc7c9afcc7ac0d1dc4fdaa7d,1,2,process,10,4,12500,250,500000,869613,38.8,84.2,1204244,377788200,2.4085,755.58,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,3.79,6.21
