variant,source,binary_sha256,cycle,slot,mode,batch,writers,bpw,payload,events,ev_s,p50_us,p99_us,allocs,alloc_bytes,allocs_per_event,alloc_bytes_per_event,owned_batches,owned_records,owned_payload_bytes,borrowed_batches,borrowed_records,copied_records,copied_bytes,batches,groups,fsyncs,fsync_p99_ns,fsync_degraded,pre_load1,post_load1
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,1,process,1,4,40000,250,160000,142157,25.5,49.7,2659253,424384208,16.6203,2652.40,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.25,4.25
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,1,2,process,1,4,40000,250,160000,150559,24.3,50.6,2018708,344753328,12.6169,2154.71,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.25,4.25
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,1,3,process,1,4,40000,250,160000,147172,24.6,57.4,2017858,344510004,12.6116,2153.19,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.25,4.39
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,4,process,1,4,40000,250,160000,146827,24.8,57.6,2657721,423917984,16.6108,2649.49,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.39,4.39
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,2,1,process,1,4,40000,250,160000,147898,24.5,53.6,2017639,344660740,12.6102,2154.13,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.39,4.39
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,2,process,1,4,40000,250,160000,148257,24.9,49.2,2658821,424193336,16.6176,2651.21,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.39,4.12
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,3,process,1,4,40000,250,160000,156740,22.9,47.2,2660458,424853600,16.6279,2655.34,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.12,4.12
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,2,4,process,1,4,40000,250,160000,146728,24.7,52.5,2017914,344466360,12.6120,2152.91,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,4.12,4.12
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,1,process,1,4,40000,250,160000,143638,25.4,59.3,2660693,424759136,16.6293,2654.74,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,4.12,3.95
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,3,2,process,1,4,40000,250,160000,147750,24.3,51.3,2019674,345232288,12.6230,2157.70,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.95,3.95
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,3,3,process,1,4,40000,250,160000,143489,25.0,50.9,2018585,344751520,12.6162,2154.70,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.95,3.95
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,4,process,1,4,40000,250,160000,143131,25.3,48.6,2657970,423986004,16.6123,2649.91,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.95,3.79
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,4,1,process,1,4,40000,250,160000,148703,24.3,48.7,2016432,344212632,12.6027,2151.33,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.79,3.79
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,4,2,process,1,4,40000,250,160000,142917,25.1,53.2,2661221,424912184,16.6326,2655.70,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.79,3.79
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,4,3,process,1,4,40000,250,160000,162304,22.6,45.1,2659317,424474684,16.6207,2652.97,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.79,3.65
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,4,4,process,1,4,40000,250,160000,148634,24.7,53.1,2017174,344302992,12.6073,2151.89,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.65,3.65
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,5,1,process,1,4,40000,250,160000,141875,25.4,55.9,2660085,424549764,16.6255,2653.44,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.65,3.65
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,5,2,process,1,4,40000,250,160000,150070,24.4,52.2,2017401,344455796,12.6088,2152.85,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.65,3.6
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,5,3,process,1,4,40000,250,160000,158281,23.0,46.5,2018414,344898032,12.6151,2155.61,160000,160000,40000000,0,0,0,0,160000,0,0,0,false,3.6,3.6
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,5,4,process,1,4,40000,250,160000,155894,23.4,45.9,2657385,423814808,16.6087,2648.84,0,0,0,160000,160000,160000,41760000,160000,0,0,0,false,3.6,3.6
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,1,process,10,4,12500,250,500000,708761,52.0,102.6,2720338,569668868,5.4407,1139.34,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,3.6,3.6
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,1,2,process,10,4,12500,250,500000,906094,39.2,80.3,1208863,379405104,2.4177,758.81,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,3.55,3.55
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,1,3,process,10,4,12500,250,500000,967772,36.0,82.1,1198688,375964520,2.3974,751.93,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,3.55,3.55
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,1,4,process,10,4,12500,250,500000,920255,38.4,79.6,2709599,565885836,5.4192,1131.77,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,3.55,3.55
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,2,1,process,10,4,12500,250,500000,942149,38.4,76.2,1204719,377832604,2.4094,755.67,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,3.55,3.55
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,2,process,10,4,12500,250,500000,959367,36.1,104.5,2703209,563826904,5.4064,1127.65,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,3.55,4.15
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,2,3,process,10,4,12500,250,500000,718197,51.1,130.1,2716554,568125172,5.4331,1136.25,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,4.15,4.15
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,2,4,process,10,4,12500,250,500000,916546,39.5,87.9,1205796,378340492,2.4116,756.68,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,4.15,4.15
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,1,process,10,4,12500,250,500000,722129,51.3,111.0,2718008,568671200,5.4360,1137.34,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,4.15,4.15
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,3,2,process,10,4,12500,250,500000,999705,36.2,73.7,1200542,376669896,2.4011,753.34,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,4.15,4.15
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,3,3,process,10,4,12500,250,500000,911670,38.8,82.0,1205279,378191388,2.4106,756.38,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,4.05,4.05
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,3,4,process,10,4,12500,250,500000,763537,48.8,96.2,2715794,567844916,5.4316,1135.69,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,4.05,4.05
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,4,1,process,10,4,12500,250,500000,935835,38.1,93.9,1203953,377782312,2.4079,755.56,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,4.05,4.05
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,4,2,process,10,4,12500,250,500000,793554,46.4,104.1,2712569,566774356,5.4251,1133.55,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,4.05,4.37
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,4,3,process,10,4,12500,250,500000,770316,47.5,102.5,2715993,568049392,5.4320,1136.10,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,4.37,4.37
candidate,e25c98610db53ae8fb3375760be741576cea932e,c2eb42200cbbbe0b410799e410ac2678fce7179e4f3f83b395b3a3dd5c989f85,4,4,process,10,4,12500,250,500000,939854,38.5,82.1,1206680,378771588,2.4134,757.54,50000,500000,125000000,0,0,0,0,50000,0,0,0,false,4.37,4.37
control,f712b03d123855f72e37b010cc621fc58709f1f5,0fe4bf83a71fa875e400704597c93b4e0bf3856fc6af45aff74114b568b7d705,5,1,process,10,4,12500,250,500000,803767,45.7,95.0,2713949,567294552,5.4279,1134.59,0,0,0,50000,500000,500000,130500000,50000,0,0,0,false,4.37,4.37
