cell,engine,mode,payload,batch,writers,bpw,kind,seg_mb,rep,ev_s,per_append_us,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1
proc-p24-b1-w4,log,process,24,1,4,40000,stable,256,2,64176,15.5821,2.4931,52.9,230.4,0,0.0,5.09
proc-p24-b1-w4,logsp,process,24,1,4,40000,stable,256,2,64745,15.4452,2.4712,52.5,125.1,0,0.0,5.09
proc-p24-b1-w4,b0d,process,24,1,4,40000,stable,256,2,239861,4.1691,0.6671,15.0,29.1,0,0.0,6.12
proc-p24-b1-w4,b0dth,process,24,1,4,40000,stable,256,2,242201,4.1288,0.6606,15.0,29.3,0,0.0,6.12
group-p24-b1-w4,bare,group,24,1,4,800,stable,256,0,1492,670.3516,2.1451,2505.1,4854.5,802,2623.1,5.71
group-p24-b1-w4,log,group,24,1,4,800,stable,256,0,748,1336.6035,4.2771,5000.8,11285.2,1600,2653.4,5.50
group-p24-b1-w4,logsp,group,24,1,4,800,stable,256,0,1102,907.3645,2.9036,2824.6,7020.3,1065,2657.2,5.02
group-p24-b1-w4,b0d,group,24,1,4,800,stable,256,0,1456,686.6676,2.1973,2690.0,5754.9,800,2514.3,5.22
group-p24-b1-w4,b0dth,group,24,1,4,800,stable,256,0,1427,700.8057,2.2426,2681.8,6060.6,802,2560.1,5.28
group-p24-b1-w4,b0dth,group,24,1,4,800,stable,256,1,1481,675.1900,2.1606,2678.6,3392.4,804,2452.8,4.94
group-p24-b1-w4,b0d,group,24,1,4,800,stable,256,1,1464,683.1411,2.1861,2688.8,5804.4,800,2496.7,5.02
group-p24-b1-w4,logsp,group,24,1,4,800,stable,256,1,1467,681.4713,2.1807,2569.9,5744.3,804,2584.9,4.70
group-p24-b1-w4,log,group,24,1,4,800,stable,256,1,801,1248.5561,3.9954,4917.2,8118.2,1600,2478.2,4.56
group-p24-b1-w4,bare,group,24,1,4,800,stable,256,1,1475,677.8426,2.1691,2489.6,5701.4,850,2506.7,4.40
group-p24-b1-w4,bare,group,24,1,4,800,stable,256,2,1500,666.5707,2.1330,2495.8,4440.3,801,2623.3,5.33
group-p24-b1-w4,log,group,24,1,4,800,stable,256,2,1408,710.0640,2.2722,2600.3,4995.0,804,2705.5,4.98
group-p24-b1-w4,logsp,group,24,1,4,800,stable,256,2,1381,723.9298,2.3166,2605.9,5932.3,802,2764.6,5.36
group-p24-b1-w4,b0d,group,24,1,4,800,stable,256,2,1356,737.4672,2.3599,2717.6,5073.3,800,2717.5,5.08
group-p24-b1-w4,b0dth,group,24,1,4,800,stable,256,2,1406,711.2230,2.2759,2695.1,4724.8,803,2600.7,4.83
proc-p24-b10-w1,bare,process,24,10,1,12500,stable,256,0,796854,12.5494,0.1569,10.4,20.1,0,0.0,4.83
proc-p24-b10-w1,log,process,24,10,1,12500,stable,256,0,289499,34.5424,0.4318,30.9,59.5,0,0.0,4.77
proc-p24-b10-w1,logsp,process,24,10,1,12500,stable,256,0,321763,31.0788,0.3885,28.6,50.9,0,0.0,4.77
proc-p24-b10-w1,b0d,process,24,10,1,12500,stable,256,0,524125,19.0794,0.2385,15.2,29.4,0,0.0,4.77
proc-p24-b10-w1,b0dth,process,24,10,1,12500,stable,256,0,734182,13.6206,0.1703,10.6,22.8,0,0.0,4.77
proc-p24-b10-w1,b0dth,process,24,10,1,12500,stable,256,1,826773,12.0952,0.1512,9.3,20.1,0,0.0,4.77
proc-p24-b10-w1,b0d,process,24,10,1,12500,stable,256,1,596962,16.7515,0.2094,14.2,29.7,0,0.0,4.77
proc-p24-b10-w1,logsp,process,24,10,1,12500,stable,256,1,305927,32.6875,0.4086,30.3,53.8,0,0.0,4.77
proc-p24-b10-w1,log,process,24,10,1,12500,stable,256,1,293792,34.0377,0.4255,30.6,58.0,0,0.0,5.10
proc-p24-b10-w1,bare,process,24,10,1,12500,stable,256,1,852801,11.7261,0.1466,9.5,22.2,0,0.0,5.10
proc-p24-b10-w1,bare,process,24,10,1,12500,stable,256,2,820762,12.1838,0.1523,10.7,22.2,0,0.0,5.10
proc-p24-b10-w1,log,process,24,10,1,12500,stable,256,2,301908,33.1227,0.4140,29.8,58.9,0,0.0,5.10
proc-p24-b10-w1,logsp,process,24,10,1,12500,stable,256,2,299581,33.3800,0.4172,29.6,58.8,0,0.0,5.10
proc-p24-b10-w1,b0d,process,24,10,1,12500,stable,256,2,622888,16.0542,0.2007,12.4,27.4,0,0.0,4.94
proc-p24-b10-w1,b0dth,process,24,10,1,12500,stable,256,2,803135,12.4512,0.1556,10.2,20.9,0,0.0,4.94
group-p24-b10-w1,bare,group,24,10,1,500,stable,256,0,3914,2555.0548,1.2775,2477.1,4095.4,500,2531.9,4.86
group-p24-b10-w1,log,group,24,10,1,500,stable,256,0,3657,2734.6710,1.3673,2503.3,6981.0,500,2677.4,4.63
group-p24-b10-w1,logsp,group,24,10,1,500,stable,256,0,3796,2634.5621,1.3173,2533.8,4187.5,500,2568.3,4.42
group-p24-b10-w1,b0d,group,24,10,1,500,stable,256,0,3734,2677.9983,1.3390,2676.5,2791.0,500,2449.1,4.23
group-p24-b10-w1,b0dth,group,24,10,1,500,stable,256,0,3666,2727.4617,1.3637,2648.7,5833.3,500,2504.0,4.21
group-p24-b10-w1,b0dth,group,24,10,1,500,stable,256,1,3746,2669.3122,1.3347,2670.8,2904.0,500,2445.5,4.03
group-p24-b10-w1,b0d,group,24,10,1,500,stable,256,1,3529,2833.6492,1.4168,2659.5,5895.4,500,2604.6,4.03
group-p24-b10-w1,logsp,group,24,10,1,500,stable,256,1,3911,2556.6860,1.2783,2503.1,4789.0,500,2493.1,3.87
group-p24-b10-w1,log,group,24,10,1,500,stable,256,1,3973,2516.8948,1.2584,2499.3,3103.7,500,2458.0,3.88
group-p24-b10-w1,bare,group,24,10,1,500,stable,256,1,3915,2554.3191,1.2772,2473.0,5620.9,500,2529.3,3.89
group-p24-b10-w1,bare,group,24,10,1,500,stable,256,2,4053,2467.3081,1.2337,2467.2,2908.8,500,2441.7,3.98
group-p24-b10-w1,log,group,24,10,1,500,stable,256,2,3736,2676.4359,1.3382,2498.6,5776.9,500,2612.3,3.83
group-p24-b10-w1,logsp,group,24,10,1,500,stable,256,2,3964,2522.4966,1.2612,2505.2,2872.6,500,2456.1,3.60
group-p24-b10-w1,b0d,group,24,10,1,500,stable,256,2,3686,2712.9260,1.3565,2688.1,3900.9,500,2483.0,3.47
group-p24-b10-w1,b0dth,group,24,10,1,500,stable,256,2,3674,2721.7463,1.3609,2642.1,5847.1,500,2497.9,3.27
proc-p24-b10-w4,bare,process,24,10,4,12500,stable,256,0,2925158,3.4186,0.1709,11.6,23.3,0,0.0,3.27
proc-p24-b10-w4,log,process,24,10,4,12500,stable,256,0,662435,15.0958,0.7548,52.9,101.4,0,0.0,3.27
proc-p24-b10-w4,logsp,process,24,10,4,12500,stable,256,0,647907,15.4343,0.7717,53.7,141.9,0,0.0,3.09
proc-p24-b10-w4,b0d,process,24,10,4,12500,stable,256,0,1289602,7.7543,0.3877,25.0,58.3,0,0.0,3.09
proc-p24-b10-w4,b0dth,process,24,10,4,12500,stable,256,0,1808559,5.5293,0.2765,19.6,32.9,0,0.0,3.09
proc-p24-b10-w4,b0dth,process,24,10,4,12500,stable,256,1,1868542,5.3518,0.2676,18.6,35.6,0,0.0,3.09
proc-p24-b10-w4,b0d,process,24,10,4,12500,stable,256,1,1250403,7.9974,0.3999,25.2,73.9,0,0.0,3.09
