point_id,phase,comparison,role,repetition,slot,order,variant,mode,payload,events_per_batch,owner_intents,writers,unit_shape,feed_source,feed_weight
e000050,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,1,64,4,domain,synthetic_sweep,1
e000051,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,1,64,4,domain,synthetic_sweep,1
e000052,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,64,4,domain,synthetic_sweep,1
e000053,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,1,64,4,domain,synthetic_sweep,1
e000054,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,1,64,4,domain,synthetic_sweep,1
e000055,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,1,64,4,domain,synthetic_sweep,1
e000056,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,1,64,4,domain,synthetic_sweep,1
e000057,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,64,4,new_name,synthetic_sweep,1
e000058,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,1,64,4,new_name,synthetic_sweep,1
e000059,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,1,64,4,new_name,synthetic_sweep,1
e000060,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,64,4,new_name,synthetic_sweep,1
e000061,exploratory,pwritev_64_8m,candidate,1,1,BAAB,pwritev_64_8m,process,24,1,64,4,new_name,synthetic_sweep,1
e000062,exploratory,pwritev_64_8m,baseline,1,2,BAAB,k_pwrite,process,24,1,64,4,new_name,synthetic_sweep,1
e000063,exploratory,pwritev_64_8m,baseline,1,3,BAAB,k_pwrite,process,24,1,64,4,new_name,synthetic_sweep,1
e000064,exploratory,pwritev_64_8m,candidate,1,4,BAAB,pwritev_64_8m,process,24,1,64,4,new_name,synthetic_sweep,1
e000065,exploratory,copy_contiguous,baseline,1,1,ABBA,k_pwrite,process,24,1,64,4,new_name,synthetic_sweep,1
